Indice,nome,ref,design,Data,Quant,Eur,numero_de_cliente
0,"A. GAUDENCIO FERREIRA & FILHOS, LDA",J.BARC002,GLYFOFLASH XL - 5LT,2023,0,0,4778
1,"A. GAUDENCIO FERREIRA & FILHOS, LDA",J.PEL006,RODEX TRIGO - 150GR,2023,0,0,4778
2,"A. GAUDENCIO FERREIRA & FILHOS, LDA",J.PEL007,ROBAN PASTA - 150GR,2023,0,0,4778
3,"A. GAUDENCIO FERREIRA & FILHOS, LDA",J.PEL010,VERTOX FORTE PASTA - 1KG,2023,0,0,4778
4,"A. GAUDENCIO FERREIRA & FILHOS, LDA",J.PEL011,VERTOX PELLET - 150GR (cx90),2023,0,0,4778
5,"A. GAUDENCIO FERREIRA & FILHOS, LDA",PAL.EUR.,EURO PALETE,2023,0,0,4778
6,"AGRIMUR - UNIPESSOAL, LDA",J.DAY0006,RETENOL-1LTº.,2023,12,204,5076
7,"AGRIMUR - UNIPESSOAL, LDA",J.JOV00028,CUC 75 FLOW - 1 LT,2023,12,162.69,5076
8,"AGRIMUR - UNIPESSOAL, LDA",J.KEY012,FLUROKEY - 100ML,2023,24,113.22,5076
9,"AGRIMUR - UNIPESSOAL, LDA",J.SP0009,BORDOGREEN CONCENTRADO-100ML,2023,48,144.84,5076
10,AGRIPEC-GONÇALVES E MEIRELES,J.BIAG006,FOLI-STOP 1KG,2023,0,0,4325
11,AGRIPEC-GONÇALVES E MEIRELES,J.BIAG011,HYDRACUP - 1LT,2023,12,389.29,4325
12,AGRIPEC-GONÇALVES E MEIRELES,J.DAY0060,"NATURAMIN-WSP - 0,5KG",2023,30,374.49,4325
13,AGRIPEC-GONÇALVES E MEIRELES,J.DAY0162,PROMOSTAR-5LTº.,2023,28,696.15,4325
14,AGRIPEC-GONÇALVES E MEIRELES,J.JOV00020,FORMIGEL - 3UN,2023,60,130.82,4325
15,AGRIPEC-GONÇALVES E MEIRELES,J.JOV00030,FERREX JARDIM - 300GR,2023,20,78.66,4325
16,AGRIPEC-GONÇALVES E MEIRELES,J.JOV00083,KOSMET - 1LT,2023,0,0,4325
17,AGRIPEC-GONÇALVES E MEIRELES,J.MV000002,TABERDOG CÃO COLEIRA ANTIP.-60CM,2023,24,66.62,4325
18,AGRIPEC-GONÇALVES E MEIRELES,J.MV000232,TABERDOG COLEIRA CÃO PEQ ANTIP.-40CM,2023,24,63.23,4325
19,AGRIPEC-GONÇALVES E MEIRELES,J.QM0010,DIPTRON - 100ML,2023,24,248.29,4325
20,AGRIPEC-GONÇALVES E MEIRELES,J.QM0014,MASTERFLY  VESPAS- 1LT,2023,0,0,4325
21,AGRIPEC-GONÇALVES E MEIRELES,J.QM0025,MURIBROM PASTA BRODIF. - 150 GR,2023,0,0,4325
22,AGRIPEC-GONÇALVES E MEIRELES,J.QM0029,MURIBROM BRODIFACOUM BLOCO-10KG,2023,0,0,4325
23,AGRIPEC-GONÇALVES E MEIRELES,J.QM0035,DIPTRON RTU - 500ML,2023,0,0,4325
24,AGRIPEC-GONÇALVES E MEIRELES,J.SEIP009,NAPHOS - 1LT,2023,60,692.55,4325
25,AGRIPEC-GONÇALVES E MEIRELES,J.UNIV0015,"ARPON ""G"" - 100ML",2023,48,305.75,4325
26,AGRIPEC-GONÇALVES E MEIRELES,J.UNIV0018,"ARPON ""G"" - 1LTº.",2023,0,0,4325
27,"AGRIREBOREDO, LDA",J.BARC002,GLYFOFLASH XL - 5LT,2023,0,0,20A
28,"AGRIREBOREDO, LDA",J.BARC003,GLYFOFLASH XL - 20LT,2023,0,0,20A
29,"AGRIREBOREDO, LDA",J.JOV00142,KENPYR - 5LT,2023,0,0,20A
30,"AGRO AIRES & FERREIRA, COM. DE SEMENTES E QUIMICOS, LDA",J.BARC003,GLYFOFLASH XL - 20LT,2023,1,142.86,19A
31,"AGRO AIRES & FERREIRA, COM. DE SEMENTES E QUIMICOS, LDA",J.JOV00019,RATRAP KIT,2023,24,37.96,19A
32,"AGRO AIRES & FERREIRA, COM. DE SEMENTES E QUIMICOS, LDA",J.JOV00052,100 MOSCAS - 1LT+SAQUETA,2023,12,104.22,19A
33,"AGRO AIRES & FERREIRA, COM. DE SEMENTES E QUIMICOS, LDA",J.JOV00053,100 MOSCAS - 4x20gr,2023,6,39.96,19A
34,"AGRO AIRES & FERREIRA, COM. DE SEMENTES E QUIMICOS, LDA",J.KEY012,FLUROKEY - 100ML,2023,24,113.89,19A
35,"AGRO AIRES & FERREIRA, COM. DE SEMENTES E QUIMICOS, LDA",J.PEL007,ROBAN PASTA - 150GR,2023,0,0,19A
36,"AGRO AIRES & FERREIRA, COM. DE SEMENTES E QUIMICOS, LDA",J.PEL010,VERTOX FORTE PASTA - 1KG,2023,0,0,19A
37,"AGRO AIRES & FERREIRA, COM. DE SEMENTES E QUIMICOS, LDA",J.SP0009,BORDOGREEN CONCENTRADO-100ML,2023,48,145.69,19A
38,"AGRO AIRES & FERREIRA, COM. DE SEMENTES E QUIMICOS, LDA",J.ZA00011,TOUCHDOWN PREMIUM - 20 LT,2023,0,0,19A
39,"AGRO AIRES & FERREIRA, COM. DE SEMENTES E QUIMICOS, LDA",J.ZA00055,RIDOMIL GOLD COMBI PEP-200GR,2023,100,414,19A
40,"AGRO AIRES & FERREIRA, COM. DE SEMENTES E QUIMICOS, LDA",J.ZA00074,THIOVIT - 400 GR,2023,60,95.97,19A
41,"AGRO AIRES & FERREIRA, COM. DE SEMENTES E QUIMICOS, LDA",J.ZA00077,TOPAZE - 70 ML,2023,40,152.43,19A
42,"AGRO AIRES & FERREIRA, COM. DE SEMENTES E QUIMICOS, LDA",J.ZA00204,TOUCHDOWN PREMIUM - 5 LT,2023,0,0,19A
43,"AGRO AIRES & FERREIRA, COM. DE SEMENTES E QUIMICOS, LDA",J.ZA00558,KARATE ZEON + 1.5CS-100ML,2023,80,165.6,19A
44,"AGRO AIRES & FERREIRA, COM. DE SEMENTES E QUIMICOS, LDA",J.ZA00615,RIDOMIL 25 - 200GR,2023,0,0,19A
45,"AGRO AIRES & FERREIRA, COM. DE SEMENTES E QUIMICOS, LDA",PAL.EUR.,EURO PALETE,2023,0,0,19A
46,"AGROMONTENEGRO,LDA",J.BARC002,GLYFOFLASH XL - 5LT,2023,0,0,4061
47,"AGROMONTENEGRO,LDA",J.QM0034,MURIBROM PASTA BRODIF. - 1.5 KG 50PPM,2023,120,791.52,4061
48,"AGROMONTENEGRO,LDA",PAL.EUR.,EURO PALETE,2023,0,0,4061
49,"ALVES E MADEIRA, LDA",J.JOV00030,FERREX JARDIM - 300GR,2023,0,0,2303
50,"ALVES E MADEIRA, LDA",J.JOV00127,COMPLESAL 12-4-6 1LT,2023,0,0,2303
51,"ALVES E MADEIRA, LDA",J.JOV00129,COMPLESAL 5-8-10 1LT,2023,0,0,2303
52,"ALVES E MADEIRA, LDA",J.QM0034,MURIBROM PASTA BRODIF. - 1.5 KG 50PPM,2023,0,0,2303
53,"ALVES E MADEIRA, LDA",J.QM0035,DIPTRON RTU - 500ML,2023,0,0,2303
59,ANTÓNIO AUGUSTO LAJA,J.DAY0005,KELPAC -1LTº.,2023,12,204.61,2851
60,ANTÓNIO AUGUSTO LAJA,J.DAY0006,RETENOL-1LTº.,2023,24,424.76,2851
61,ANTÓNIO AUGUSTO LAJA,J.DAY0007,RETENOL-5LTº.,2023,4,317.84,2851
62,ANTÓNIO AUGUSTO LAJA,J.DAY0009,NATURAMIN WSP-5KG,2023,4,385.56,2851
63,ANTÓNIO AUGUSTO LAJA,J.DAY0013,NATURCOMPLET-G-25KG,2023,40,898,2851
64,ANTÓNIO AUGUSTO LAJA,J.DAY0022,NATURFRUIT - 1LTº.,2023,0,0,2851
65,ANTÓNIO AUGUSTO LAJA,J.DAY0060,"NATURAMIN-WSP - 0,5KG",2023,90,1123.47,2851
66,ANTÓNIO AUGUSTO LAJA,J.DAY0071,NATURQUEL BORO-1LTº.,2023,132,928.26,2851
67,ANTÓNIO AUGUSTO LAJA,J.DAY0072,NATURQUEL BORO-5 LTº.,2023,44,1219.86,2851
68,ANTÓNIO AUGUSTO LAJA,J.DAY0073,NATURQUEL BORO-20 LTº.,2023,11,1153.85,2851
69,ANTÓNIO AUGUSTO LAJA,J.DAY0172,NATURAL WSP - 1KG,2023,20,720.9,2851
70,ANTÓNIO AUGUSTO LAJA,J.JOV00030,FERREX JARDIM - 300GR,2023,0,0,2851
71,ANTÓNIO AUGUSTO LAJA,J.JOV00083,KOSMET - 1LT,2023,48,673.6,2851
72,ANTÓNIO AUGUSTO LAJA,J.JOV00114,KUGEL EQUISETUM - 10LT,2023,0,0,2851
73,ANTÓNIO AUGUSTO LAJA,J.JOV00130,COMPLESAL 5-8-10 5LT,2023,0,0,2851
74,ANTÓNIO AUGUSTO LAJA,J.PEL004,VERTOX PELLET - 150GR,2023,350,269.33,2851
75,ANTÓNIO AUGUSTO LAJA,J.PEL006,RODEX TRIGO - 150GR,2023,350,209.48,2851
76,ANTÓNIO AUGUSTO LAJA,J.QM0013,MASTERFLY - 1LT,2023,0,0,2851
77,ANTÓNIO AUGUSTO LAJA,J.SEIP029,SEPTUM - 5LT,2023,4,258.91,2851
78,ANTÓNIO AUGUSTO LAJA,J.UNIV0015,"ARPON ""G"" - 100ML",2023,0,0,2851
79,ANTÓNIO AUGUSTO LAJA,PAL.PQ,PALETE PEQUENA,2023,0,0,2851
80,ANTÓNIO DOS SANTOS CARVALHO-CABEÇA DE CASAL HERANÇA DE,J.BARC001,GLYFOFLASH XL - 1LT,2023,24,220.32,5273
81,ANTÓNIO DOS SANTOS CARVALHO-CABEÇA DE CASAL HERANÇA DE,J.JOV00047,ZUM LACA - 300ML,2023,72,2772,5273
82,ANTÓNIO DOS SANTOS CARVALHO-CABEÇA DE CASAL HERANÇA DE,J.JOV00048,ZUM VOADORES - 600ML,2023,48,1368,5273
83,ANTÓNIO DOS SANTOS CARVALHO-CABEÇA DE CASAL HERANÇA DE,J.JOV00065,ZUM FORMIGAS - 3 ARMADILHAS,2023,48,0,5273
84,ANTÓNIO DOS SANTOS CARVALHO-CABEÇA DE CASAL HERANÇA DE,J.JOV00066,ZUM FORMIGAS GEL 10GR,2023,60,0,5273
85,ANTÓNIO DOS SANTOS CARVALHO-CABEÇA DE CASAL HERANÇA DE,J.QM0010,DIPTRON - 100ML,2023,24,248.29,5273
86,ANTÓNIO DOS SANTOS CARVALHO-CABEÇA DE CASAL HERANÇA DE,J.QM0013,MASTERFLY - 1LT,2023,0,0,5273
87,ANTÓNIO DOS SANTOS CARVALHO-CABEÇA DE CASAL HERANÇA DE,J.QM0035,DIPTRON RTU - 500ML,2023,0,0,5273
88,ANTÓNIO DOS SANTOS CARVALHO-CABEÇA DE CASAL HERANÇA DE,J.ZA00558,KARATE ZEON + 1.5CS-100ML,2023,40,82.8,5273
89,ANTÓNIO MANUEL PINA MONTEIRO,J.JOV00019,RATRAP KIT,2023,12,18.87,2738
90,ANTÓNIO MANUEL PINA MONTEIRO,J.JOV00030,FERREX JARDIM - 300GR,2023,20,78.2,2738
91,ANTÓNIO MANUEL PINA MONTEIRO,J.PEL004,VERTOX PELLET - 150GR,2023,140,107.1,2738
92,ANTÓNIO MANUEL PINA MONTEIRO,J.PEL006,RODEX TRIGO - 150GR,2023,140,83.3,2738
93,ANTÓNIO MANUEL PINA MONTEIRO,J.QM0025,MURIBROM PASTA BRODIF. - 150 GR,2023,150,121.13,2738
94,"ANTÓNIO RELVAS & FILHOS, LDA",J.JOV00054,100 MOSCAS - 240gr,2023,0,0,18A
95,"ANTÓNIO RELVAS & FILHOS, LDA",J.JOV00055,100 MOSCAS - ARM 10lt,2023,0,0,18A
96,"ANTÓNIO RELVAS & FILHOS, LDA",J.PEL006,RODEX TRIGO - 150GR,2023,0,0,18A
97,"ANTÓNIO RELVAS & FILHOS, LDA",J.PEL007,ROBAN PASTA - 150GR,2023,0,0,18A
98,"ANTÓNIO RELVAS & FILHOS, LDA",J.PEL010,VERTOX FORTE PASTA - 1KG,2023,0,0,18A
